# This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu
# Thu May 16 14:06:35 2024
#
# User preference: *
#
# CONSTRAINT:  where (default_flag >0)
#
# COLUMN pl_name:        Planet Name
# COLUMN hostname:       Host Name
# COLUMN default_flag:   Default Parameter Set
# COLUMN pl_orbper:      Orbital Period [days]
# COLUMN pl_orbpererr1:  Orbital Period Upper Unc. [days]
# COLUMN pl_orbpererr2:  Orbital Period Lower Unc. [days]
# COLUMN pl_orbperlim:   Orbital Period Limit Flag
# COLUMN pl_orbsmax:     Orbit Semi-Major Axis [au]
# COLUMN pl_orbsmaxerr1: Orbit Semi-Major Axis Upper Unc. [au]
# COLUMN pl_orbsmaxerr2: Orbit Semi-Major Axis Lower Unc. [au]
# COLUMN pl_orbsmaxlim:  Orbit Semi-Major Axis Limit Flag
# COLUMN pl_insol:       Insolation Flux [Earth Flux]
# COLUMN pl_insolerr1:   Insolation Flux Upper Unc. [Earth Flux]
# COLUMN pl_insolerr2:   Insolation Flux Lower Unc. [Earth Flux]
# COLUMN pl_insollim:    Insolation Flux Limit Flag
# COLUMN pl_eqt:         Equilibrium Temperature [K]
# COLUMN pl_eqterr1:     Equilibrium Temperature Upper Unc. [K]
# COLUMN pl_eqterr2:     Equilibrium Temperature Lower Unc. [K]
# COLUMN pl_eqtlim:      Equilibrium Temperature Limit Flag
# COLUMN st_teff:        Stellar Effective Temperature [K]
# COLUMN st_tefferr1:    Stellar Effective Temperature Upper Unc. [K]
# COLUMN st_tefferr2:    Stellar Effective Temperature Lower Unc. [K]
# COLUMN st_tefflim:     Stellar Effective Temperature Limit Flag
#
loc_rowid,pl_name,hostname,default_flag,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_orbperlim,pl_orbsmax,pl_orbsmaxerr1,pl_orbsmaxerr2,pl_orbsmaxlim,pl_insol,pl_insolerr1,pl_insolerr2,pl_insollim,pl_eqt,pl_eqterr1,pl_eqterr2,pl_eqtlim,st_teff,st_tefferr1,st_tefferr2,st_tefflim
16,14 Her b,14 Her,0,1724.00000000,50.00000000,-50.00000000,0,2.820000,,,0,,,,,,,,,,,,
17,14 Her b,14 Her,0,,,,,2.730000,,,0,,,,,,,,,,,,
18,16 Cyg B b,16 Cyg B,0,799.45000000,0.15000000,-0.15000000,0,1.676000,0.025000,-0.025000,0,,,,,,,,,5711.97,93.25,-93.25,0
19,16 Cyg B b,16 Cyg B,0,798.50000000,1.00000000,-1.00000000,0,1.681000,0.097000,-0.097000,0,,,,,,,,,5674.00,,,0
20,16 Cyg B b,16 Cyg B,0,800.80000000,11.70000000,-11.70000000,0,1.600000,,,0,,,,,,,,,5760.00,20.00,-20.00,0
21,16 Cyg B b,16 Cyg B,0,799.50000000,0.60000000,-0.60000000,0,1.680000,0.030000,-0.030000,0,,,,,,,,,5747.00,143.26,-142.80,0
22,16 Cyg B b,16 Cyg B,0,799.50000000,0.60000000,-0.60000000,0,1.680000,0.030000,-0.030000,0,,,,,,,,,,,,
23,16 Cyg B b,16 Cyg B,1,798.50000000,1.00000000,-1.00000000,0,1.660000,0.030000,-0.030000,0,,,,,,,,,5750.00,8.00,-8.00,0
24,17 Sco b,17 Sco,1,578.38000000,2.01000000,-2.09000000,0,1.450000,0.020000,-0.020000,0,,,,,,,,,4157.00,11.00,-10.00,0
25,18 Del b,18 Del,0,993.30000000,3.20000000,-3.20000000,0,2.600000,,,0,,,,,,,,,4979.00,18.00,-18.00,0
26,18 Del b,18 Del,1,982.85000000,1.06000000,-0.92000000,0,2.476000,0.002000,-0.002000,0,,,,,,,,,4980.00,,,0
27,18 Del b,18 Del,0,,,,,2.540000,0.040000,-0.040000,0,,,,,,,,,,,,
28,1RXS J160929.1-210524 b,1RXS J160929.1-210524,0,,,,,330.000000,,,0,,,,,1700,100,-100,0,4060.00,300.00,-200.00,0
29,1RXS J160929.1-210524 b,1RXS J160929.1-210524,1,,,,,330.000000,,,0,,,,,1700,100,-100,0,4060.00,300.00,-200.00,0
30,1RXS J160929.1-210524 b,1RXS J160929.1-210524,0,,,,,330.000000,,,0,,,,,1800,200,-200,0,3993.00,142.70,-159.97,0
31,1RXS J160929.1-210524 b,1RXS J160929.1-210524,0,,,,,330.000000,,,0,,,,,1800,200,-100,0,4060.00,300.00,-200.00,0
32,24 Boo b,24 Boo,0,30.35060000,0.00780000,-0.00770000,0,0.190000,0.012000,-0.009000,0,,,,,,,,,4893.00,15.00,-15.00,0
33,24 Boo b,24 Boo,1,30.33000000,0.00000000,-0.01000000,0,0.194000,0.000000,0.000000,0,,,,,,,,,4816.00,,,0
34,24 Sex b,24 Sex,1,452.80000000,2.10000000,-4.50000000,0,1.333000,0.004000,-0.009000,0,,,,,,,,,5098.00,44.00,-44.00,0
35,24 Sex c,24 Sex,1,883.00000000,32.40000000,-13.80000000,0,2.080000,0.050000,-0.020000,0,,,,,,,,,5098.00,44.00,-44.00,0
36,2M0437 b,2MASS J04372171+2651014,1,,,,,118.000000,1.300000,-1.300000,0,,,,,1450,50,-50,0,3100.00,100.00,-100.00,0
37,2MASS J01033563-5515561 AB b,2MASS J01033563-5515561 A,1,,,,,84.000000,,,0,,,,,,,,,,,,
38,2MASS J01225093-2439505 b,2MASS J01225093-2439505,0,,,,,,,,,,,,,1600,100,-100,0,3309.00,157.00,-157.00,0
39,2MASS J01225093-2439505 b,2MASS J01225093-2439505,1,,,,,52.000000,6.000000,-6.000000,0,,,,,,,,,3530.00,50.00,-50.00,0
40,2MASS J02192210-3925225 b,2MASS J02192210-3925225,1,,,,,156.000000,10.000000,-10.000000,0,,,,,,,,,3064.00,76.00,-76.00,0
41,2MASS J0249-0557 c,2MASS J0249-0557 A,1,,,,,1950.000000,200.000000,-200.000000,0,,,,,,,,,,,,
42,2MASS J03590986+2009361 b,2MASS J03590986+2009361,1,,,,,572.000000,7.000000,-7.000000,0,,,,,2369,21,-5,0,,,,
43,2MASS J04414489+2301513 b,2MASS J04414489+2301513,1,,,,,15.000000,,,0,,,,,,,,,,,,
44,2MASS J11011926-7732383 b,2MASS J11011926-7732383,1,,,,,266.000000,8.000000,-8.000000,0,,,,,2677,78,-76,0,,,,
45,2MASS J11550485-7919108 b,2MASS J11550485-7919108,1,,,,,587.000000,2.000000,-2.000000,0,,,,,2506,2,-2,0,,,,
46,2MASS J12073346-3932539 b,2MASS J12073346-3932539,1,,,,,55.000000,,,0,,,,,1250,200,-200,0,,,,
47,2MASS J12073346-3932539 b,2MASS J12073346-3932539,0,,,,,46.000000,5.000000,-5.000000,0,,,,,1150,150,-150,0,2825.00,157.00,-157.00,0
48,2MASS J19383260+4603591 b,2MASS J19383260+4603591,1,406.00000000,4.00000000,-4.00000000,0,,,,,,,,,,,,,29564.00,,,0
49,2MASS J19383260+4603591 b,2MASS J19383260+4603591,0,416.00000000,2.00000000,-2.00000000,0,0.920000,0.020000,-0.020000,0,,,,,,,,,,,,
50,2MASS J21252752-8138278 b,2MASS J21252752-8138278,1,,,,,7493.000000,11.000000,-11.000000,0,,,,,1616,32,-3,0,,,,
51,2MASS J22362452+4751425 b,2MASS J22362452+4751425,1,,,,,230.000000,20.000000,-20.000000,0,,,,,,,,,4045.00,35.00,-35.00,0
52,30 Ari B b,30 Ari B,0,335.10000000,2.50000000,-2.50000000,0,0.995000,0.012000,-0.012000,0,,,,,,,,,6300.00,60.00,-60.00,0
53,30 Ari B b,30 Ari B,0,345.40000000,3.80000000,-3.80000000,0,1.010000,0.010000,-0.010000,0,,,,,,,,,,,,
54,30 Ari B b,30 Ari B,1,335.10001000,2.50000000,-2.50000000,0,0.990000,0.020000,-0.020000,0,,,,,,,,,6331.00,61.00,-61.00,0
55,4 UMa b,4 UMa,1,270.27000000,0.24000000,-0.09000000,0,0.877000,0.001000,0.000000,0,,,,,,,,,4415.00,70.00,-70.00,0
56,4 UMa b,4 UMa,0,269.30000000,1.96000000,-1.96000000,0,0.870000,0.040000,-0.040000,0,,,,,,,,,4415.00,70.00,-70.00,0
57,42 Dra b,42 Dra,1,479.10000000,6.20000000,-6.20000000,0,1.190000,0.010000,-0.010000,0,,,,,,,,,4200.00,70.00,-70.00,0
58,47 UMa b,47 UMa,0,1076.60000000,2.30000000,-2.30000000,0,2.100000,0.022000,-0.022000,0,,,,,,,,,5882.00,44.00,-44.00,0
59,47 UMa b,47 UMa,1,1078.00000000,2.00000000,-2.00000000,0,2.100000,0.020000,-0.020000,0,,,,,,,,,5872.00,92.94,-113.53,0
60,47 UMa b,47 UMa,0,1100.80000000,7.20000000,-7.20000000,0,2.110000,,,0,,,,,,,,,,,,
61,47 UMa b,47 UMa,0,1083.20000000,1.80000000,-1.80000000,0,2.110000,0.040000,-0.040000,0,,,,,,,,,,,,
62,47 UMa b,47 UMa,0,1076.60000000,1.30000000,-1.10000000,0,2.059000,0.031000,-0.032000,0,,,,,,,,,5829.16,94.78,-94.78,0
63,47 UMa c,47 UMa,1,2391.00000000,100.00000000,-87.00000000,0,3.600000,0.100000,-0.100000,0,,,,,,,,,5872.00,92.94,-113.53,0
64,47 UMa c,47 UMa,0,7586.00000000,727.00000000,-727.00000000,0,7.730000,0.580000,-0.580000,0,,,,,,,,,,,,
65,47 UMa c,47 UMa,0,2287.00000000,19.00000000,-16.00000000,0,3.404000,0.054000,-0.056000,0,,,,,,,,,5829.16,94.78,-94.78,0
66,47 UMa d,47 UMa,1,14002.00000000,4018.00000000,-5095.00000000,0,11.600000,2.100000,-2.900000,0,,,,,,,,,5872.00,92.94,-113.53,0
67,47 UMa d,47 UMa,0,19000.00000000,11000.00000000,-4000.00000000,0,13.800000,4.800000,-2.100000,0,,,,,,,,,5829.16,94.78,-94.78,0
68,51 Eri b,51 Eri,0,11688.00000000,6209.25000000,-3287.25000000,0,12.000000,4.000000,-2.000000,0,,,,,,,,,7295.00,120.09,-98.99,0
69,51 Eri b,51 Eri,1,,,,,13.200000,0.200000,-0.200000,0,,,,,700,,,0,,,,
70,51 Eri b,51 Eri,0,14965.00000000,12775.00000000,-4380.00000000,0,14.000000,7.000000,-3.000000,0,,,,,,,,,7295.00,120.09,-98.99,0
71,51 Peg b,51 Peg,0,4.22930000,0.00110000,-0.00110000,0,,,,,,,,,,,,,5773.00,,,0
72,51 Peg b,51 Peg,0,4.23077000,0.00004000,-0.00004000,0,0.052000,,,0,,,,,,,,,,,,
73,51 Peg b,51 Peg,0,4.23079690,0.00000730,-0.00000780,0,0.052350,0.000760,-0.000790,0,,,,,,,,,5760.76,95.49,-95.49,0
74,51 Peg b,51 Peg,1,4.23078500,0.00003600,-0.00003600,0,0.052700,0.003000,-0.003000,0,,,,,,,,,5758.00,101.62,-119.62,0
75,51 Peg b,51 Peg,0,4.23100000,,,0,0.052000,,,0,,,,,,,,,,,,
76,55 Cnc b,55 Cnc,1,14.65160000,0.00010000,-0.00010000,0,0.113400,0.000600,-0.000600,0,,,,,,,,,5172.00,18.00,-18.00,0
77,55 Cnc b,55 Cnc,0,14.65152000,0.00015000,-0.00015000,0,0.115227,0.000001,-0.000001,0,,,,,,,,,,,,
78,55 Cnc b,55 Cnc,0,14.64800000,0.00090000,-0.00090000,0,0.110000,,,0,,,,,,,,,5200.00,,,0
79,55 Cnc b,55 Cnc,0,14.60000000,,,0,0.113000,,,0,,,,,700,,,0,,,,
80,55 Cnc b,55 Cnc,0,14.46531400,0.00090000,-0.00095000,0,0.113390,0.000110,-0.000110,0,,,,,,,,,5250.00,123.30,-171.85,0
81,55 Cnc b,55 Cnc,0,14.65171000,0.00005300,-0.00005200,0,0.116200,0.001800,-0.001800,0,,,,,,,,,5317.89,80.51,-80.51,0
82,55 Cnc b,55 Cnc,0,14.64700000,0.00100000,-0.00100000,0,0.115000,,,0,,,,,,,,,,,,
83,55 Cnc b,55 Cnc,0,14.65100000,0.00010000,-0.00010000,0,0.113400,0.000600,-0.000600,0,,,,,,,,,5250.00,123.30,-171.85,0
84,55 Cnc b,55 Cnc,0,14.65126000,0.00070000,-0.00070000,0,0.113800,0.006600,-0.006600,0,,,,,,,,,5250.00,123.30,-171.85,0
85,55 Cnc b,55 Cnc,0,14.65162000,0.00070000,-0.00070000,0,0.115000,0.000001,-0.000001,0,,,,,,,,,5250.00,123.30,-171.85,0
86,55 Cnc b,55 Cnc,0,14.67000000,0.01000000,-0.01000000,0,0.115000,0.003000,-0.003000,0,,,,,,,,,,,,
87,55 Cnc b,55 Cnc,0,14.65300000,0.00060000,-0.00060000,0,0.115000,0.003000,-0.003000,0,,,,,,,,,,,,
88,55 Cnc c,55 Cnc,0,43.93000000,0.25000000,-0.25000000,0,0.240000,0.008000,-0.008000,0,,,,,,,,,,,,
89,55 Cnc c,55 Cnc,0,44.37300000,0.02000000,-0.01800000,0,0.237350,0.000240,-0.000240,0,,,,,,,,,5250.00,123.30,-171.85,0
90,55 Cnc c,55 Cnc,0,44.34460000,0.00700000,-0.00700000,0,0.240000,0.000045,-0.000045,0,,,,,,,,,5250.00,123.30,-171.85,0
91,55 Cnc c,55 Cnc,0,44.37870000,0.00700000,-0.00700000,0,0.238000,0.014000,-0.014000,0,,,,,,,,,5250.00,123.30,-171.85,0
92,55 Cnc c,55 Cnc,0,44.38270000,0.00380000,-0.00380000,0,0.243200,0.003700,-0.003800,0,,,,,,,,,5317.89,80.51,-80.51,0
93,55 Cnc c,55 Cnc,1,44.39890000,0.00420000,-0.00430000,0,0.237300,0.001300,-0.001300,0,,,,,,,,,5172.00,18.00,-18.00,0
94,55 Cnc c,55 Cnc,0,44.41750000,0.00730000,-0.00730000,0,0.241376,0.000026,-0.000026,0,,,,,,,,,,,,
95,55 Cnc c,55 Cnc,0,44.38000000,0.00700000,-0.00700000,0,0.237000,0.001300,-0.001300,0,,,,,,,,,5250.00,123.30,-171.85,0
96,55 Cnc d,55 Cnc,0,4820.00000000,77.00000000,-72.00000000,0,5.540000,0.100000,-0.100000,0,,,,,,,,,5317.89,80.51,-80.51,0
97,55 Cnc d,55 Cnc,0,4867.00000000,25.00000000,-26.00000000,0,5.446000,0.020000,-0.020000,0,,,,,,,,,5250.00,123.30,-171.85,0
98,55 Cnc d,55 Cnc,0,4909.00000000,30.00000000,-30.00000000,0,5.470000,0.060000,-0.060000,0,,,,,,,,,5250.00,123.30,-171.85,0
99,55 Cnc d,55 Cnc,0,5370.00000000,230.00000000,-230.00000000,0,5.840000,0.390000,-0.390000,0,,,,,,,,,5250.00,123.30,-171.85,0
100,55 Cnc d,55 Cnc,0,5218.00000000,230.00000000,-230.00000000,0,5.770000,0.110000,-0.110000,0,,,,,,,,,5250.00,123.30,-171.85,0
101,55 Cnc d,55 Cnc,0,4517.40000000,77.80000000,-77.80000000,0,5.257000,0.208000,-0.208000,0,,,,,,,,,,,,
102,55 Cnc d,55 Cnc,0,4545.00000000,1421.00000000,-1421.00000000,0,5.280000,,,0,,,,,,,,,,,,
103,55 Cnc d,55 Cnc,0,5360.00000000,400.00000000,-400.00000000,0,5.900000,0.900000,-0.900000,0,,,,,,,,,,,,
104,55 Cnc d,55 Cnc,1,5574.20000000,93.80000000,-88.60000000,0,5.957000,0.074000,-0.071000,0,,,,,,,,,5172.00,18.00,-18.00,0
105,55 Cnc d,55 Cnc,0,4825.00000000,39.00000000,-39.00000000,0,5.503000,0.030000,-0.030000,0,,,,,,,,,,,,
106,55 Cnc e,55 Cnc,0,0.73654740,0.00000130,-0.00000130,0,,,,,,,,,,,,,,,,
107,55 Cnc e,55 Cnc,0,0.73654370,0.00000520,-0.00000520,0,0.015440,0.000090,-0.000090,0,,,,,1958,15,-15,0,5234.00,30.00,-30.00,0
108,55 Cnc e,55 Cnc,0,0.73654604,0.00000016,-0.00000016,0,,,,,,,,,,,,,,,,
109,55 Cnc e,55 Cnc,0,,,,,,,,,,,,,,,,,5250.00,123.30,-171.85,0
110,55 Cnc e,55 Cnc,0,2.79674000,0.00010000,-0.00010000,0,0.037700,0.002200,-0.002200,0,,,,,,,,,5250.00,123.30,-171.85,0
111,55 Cnc e,55 Cnc,0,,,,,0.015440,0.000090,-0.000090,0,,,,,,,,,5250.00,123.30,-171.85,0
112,55 Cnc e,55 Cnc,0,0.73654600,0.00000300,-0.00000300,0,0.015830,0.000200,-0.000200,0,,,,,,,,,5250.00,123.30,-171.85,0
113,55 Cnc e,55 Cnc,0,0.73655150,0.00000150,-0.00000150,0,0.015691,0.000000,0.000000,0,,,,,,,,,,,,
114,55 Cnc e,55 Cnc,0,0.73700000,,,0,,,,,,,,,,,,,5172.00,18.00,-18.00,0
115,55 Cnc e,55 Cnc,0,0.73653900,0.00000700,-0.00000700,0,0.015440,0.000090,-0.000090,0,,,,,,,,,5250.00,123.30,-171.85,0
116,55 Cnc e,55 Cnc,0,0.73654582,0.00000101,-0.00000101,0,,,,,2657.83,,,0,1831,,,0,5250.00,147.60,-147.60,0
117,55 Cnc e,55 Cnc,0,0.73654780,0.00000160,-0.00000120,0,0.015439,0.000015,-0.000015,0,,,,,,,,,5250.00,123.30,-171.85,0
118,55 Cnc e,55 Cnc,0,0.73654170,0.00000250,-0.00000280,0,,,,,,,,,,,,,,,,
119,55 Cnc e,55 Cnc,1,0.73654740,0.00000130,-0.00000140,0,0.015440,0.000050,-0.000050,0,,,,,,,,,5172.00,18.00,-18.00,0
120,55 Cnc e,55 Cnc,0,2.80800000,0.00200000,-0.00200000,0,0.038000,0.001000,-0.001000,0,,,,,,,,,,,,
121,55 Cnc e,55 Cnc,0,0.73654000,0.00000300,-0.00000300,0,0.015830,0.000200,-0.000200,0,,,,,,,,,,,,
122,55 Cnc e,55 Cnc,0,0.73654450,0.00000140,-0.00000150,0,0.015830,0.000240,-0.000240,0,,,,,,,,,5317.89,80.51,-80.51,0
123,55 Cnc e,55 Cnc,0,0.73654625,0.00000015,-0.00000015,0,,,,,,,,,,,,,5234.00,30.00,-30.00,0
124,55 Cnc f,55 Cnc,0,262.00000000,0.51000000,-0.51000000,0,0.788000,0.001000,-0.001000,0,,,,,,,,,,,,
125,55 Cnc f,55 Cnc,1,259.88000000,0.29000000,-0.29000000,0,0.770800,0.004300,-0.004400,0,,,,,,,,,5172.00,18.00,-18.00,0
126,55 Cnc f,55 Cnc,0,260.98000000,0.24000000,-0.24000000,0,0.792000,0.012000,-0.012000,0,,,,,,,,,5317.89,80.51,-80.51,0
127,55 Cnc f,55 Cnc,0,260.91000000,0.36000000,-0.36000000,0,0.773300,0.001000,-0.001000,0,,,,,,,,,5250.00,123.30,-171.85,0
128,55 Cnc f,55 Cnc,0,261.20000000,0.40000000,-0.40000000,0,0.770000,0.005000,-0.005000,0,,,,,,,,,5250.00,123.30,-171.85,0
129,55 Cnc f,55 Cnc,0,260.70000000,1.10000000,-1.10000000,0,0.775000,0.045000,-0.045000,0,,,,,,,,,5250.00,123.30,-171.85,0
130,55 Cnc f,55 Cnc,0,260.00000000,1.10000000,-1.10000000,0,0.781000,0.007000,-0.007000,0,,,,,,,,,5250.00,123.30,-171.85,0
131,6 Lyn b,6 Lyn,0,899.00000000,19.00000000,-19.00000000,0,2.200000,,,0,,,,,,,,,4978.00,18.00,-18.00,0
132,6 Lyn b,6 Lyn,0,874.77400000,16.27000000,-8.47000000,0,2.180000,0.050000,-0.060000,0,,,,,,,,,,,,
133,6 Lyn b,6 Lyn,1,919.86000000,1.92000000,-3.71000000,0,2.028000,0.003000,-0.005000,0,,,,,,,,,4941.00,,,0
134,6 Lyn b,6 Lyn,0,934.30000000,8.60000000,-8.60000000,0,2.110000,0.110000,-0.110000,0,,,,,,,,,4938.00,,,0
135,61 Vir b,61 Vir,0,4.21487000,0.00016000,-0.00016000,0,0.049560,0.000650,-0.000670,0,,,,,,,,,5585.57,78.88,-78.88,0
136,61 Vir b,61 Vir,1,4.21500000,0.00060000,-0.00060000,0,0.050201,0.000005,-0.000005,0,,,,,,,,,5577.00,33.00,-33.00,0
137,61 Vir c,61 Vir,0,38.09570000,0.00830000,-0.00830000,0,0.215100,0.002800,-0.002900,0,,,,,,,,,5585.57,78.88,-78.88,0
138,61 Vir c,61 Vir,1,38.02100000,0.03400000,-0.03400000,0,0.217500,0.000100,-0.000100,0,,,,,,,,,5577.00,33.00,-33.00,0
139,61 Vir d,61 Vir,1,123.01000000,0.55000000,-0.55000000,0,0.476000,0.001000,-0.001000,0,,,,,,,,,5577.00,33.00,-33.00,0
140,7 CMa b,7 CMa,0,796.00000000,7.40000000,-7.40000000,0,1.930000,0.010000,-0.010000,0,,,,,,,,,4794.52,24.10,-24.10,0
141,7 CMa b,7 CMa,0,763.00000000,17.00000000,-17.00000000,0,1.900000,0.100000,-0.100000,0,,,,,,,,,4792.00,100.00,-100.00,0
142,7 CMa b,7 CMa,1,735.10000000,14.80000000,-1.00000000,0,1.758000,0.024000,-0.001000,0,,,,,,,,,4826.00,45.00,-55.00,0
143,7 CMa c,7 CMa,1,996.00000000,1.50000000,-52.40000000,0,2.153000,0.003000,-0.080000,0,,,,,,,,,4826.00,45.00,-55.00,0
144,70 Vir b,70 Vir,0,116.68900000,0.01100000,-0.01100000,0,0.456000,,,0,,,,,,,,,,,,
145,70 Vir b,70 Vir,0,116.68840000,0.00440000,-0.00440000,0,0.480000,0.010000,-0.010000,0,,,,,,,,,5531.00,11.00,-11.00,0
146,70 Vir b,70 Vir,0,116.69335000,0.00093000,-0.00097000,0,0.476500,0.004300,-0.004400,0,,,,,,,,,5481.86,100.68,-100.68,0
147,70 Vir b,70 Vir,1,116.68800000,0.00540000,-0.00540000,0,0.481000,0.022000,-0.022000,0,,,,,,,,,5495.00,,,0
148,70 Vir b,70 Vir,0,116.68840000,0.00440000,-0.00440000,0,0.484000,0.028000,-0.028000,0,,,,,,,,,5545.00,,,0
149,70 Vir b,70 Vir,0,116.69260000,0.00140000,-0.00140000,0,0.481000,0.003000,-0.003000,0,,,,,,,,,5439.00,44.00,-44.00,0
150,75 Cet b,75 Cet,0,691.90000000,3.60000000,-3.60000000,0,2.100000,,,0,,,,,,,,,4846.00,18.00,-18.00,0
151,75 Cet b,75 Cet,1,696.62000000,1.33000000,-1.69000000,0,1.912000,0.002000,-0.003000,0,,,,,,,,,4809.00,,,0
152,75 Cet c,75 Cet,1,2051.62000000,45.98000000,-40.47000000,0,3.929000,0.058000,-0.052000,0,,,,,,,,,4809.00,,,0
153,8 UMi b,8 UMi,1,93.40000000,4.50000000,-4.50000000,0,0.490000,0.020000,-0.020000,0,,,,,,,,,4847.00,7.00,-7.00,0
154,8 UMi b,8 UMi,0,93.40000000,4.50000000,-4.50000000,0,0.490000,0.030000,-0.030000,0,,,,,,,,,4847.40,7.50,-7.50,0
155,81 Cet b,81 Cet,0,952.70000000,8.80000000,-8.80000000,0,2.500000,,,0,,,,,,,,,4785.00,25.00,-25.00,0
156,81 Cet b,81 Cet,0,,,,,2.170000,0.170000,-0.090000,0,,,,,,,,,,,,
157,81 Cet b,81 Cet,1,1005.57000000,1.84000000,-1.94000000,0,2.104000,0.003000,-0.003000,0,,,,,,,,,4734.00,,,0
158,91 Aqr b,91 Aqr,1,181.40000000,0.10000000,-0.10000000,0,0.700000,,,0,,,,,,,,,4665.00,18.00,-18.00,0
159,AB Aur b,AB Aur,1,,,,,93.900000,49.300000,-49.300000,0,,,,,,,,,9770.00,100.00,-100.00,0
160,AB Pic b,AB Pic,1,,,,,260.000000,,,0,,,,,,,,,,,,
161,AF Lep b,AF Lep,1,8030.00000000,1800.00000000,-1800.00000000,0,8.400000,1.100000,-1.300000,0,,,,,,,,,6130.00,60.00,-60.00,0
162,AF Lep b,AF Lep,0,7520.00000000,1200.00000000,-1300.00000000,0,7.990000,0.850000,-0.920000,0,,,,,1400,300,-300,0,6100.00,,,0
